datum,cantus,vereniging
16-okt-2012,SW cantus,schraalwijf
18-okt-2012,Doop cantus,Wina
13-nov-2012,Massa cantus,veel
18-dec-2012,Kerst cantus,Wina
12-feb-2013,Hobbit cantus,Wina
18-mrt-2013,Scienticantus,scientica
22-apr-2013,Not again cantus,Wina
07-mei-2013,Samson en gert / ontgroening,Wina
08-mei-2013,VTK cantus,VTK
21-mei-2013,Overdracht cantus,Wina
19-sep-2013,Schachtenweekend cantus,Industria
17-okt-2013,Doop cantus,Wina
25-okt-2013,Famillie cantus,Industria
28-okt-2013,Scienticantus,scientica
30-okt-2013,VTK cantus,VTK
12-nov-2013,Massa cantus,veel
18-nov-2013,Olympische cantus,Wina
03-dec-2013,kot cantus ,El Nido
13-feb-2014,Dies Natalis cantus,Wina
10-mrt-2014,Themaweek Azie cantus,Wina
31-mrt-2014,China cantus,Industria
02-apr-2014,Beiaard cantus,Loko
22-apr-2014,Ontgroeningscantus,Wina
28-apr-2014,Opposite seks cantus,Focus
05-mei-2014,Pixel cantus,VTK
19-mei-2014,Vroeger was alles beter cantus,Wina
18-sep-2014,EJWiekend cantus,Wina
25-sep-2014,Openingscantus,Industria
29-sep-2014,Openingscantus,Wina
16-okt-2014,Doop cantus,Wina
04-nov-2014,Rode duivels cantus,Psychologie
10-nov-2014,Survival of the fittest cantus,Wina
11-nov-2014,Massa cantus,veel
12-nov-2014,Doop cantus,Industria
18-nov-2014,Scienticantus,scientica
24-nov-2014,ABC cantus,Psychologie
01-dec-2014,Pedagogie cantus,Pedagogie
04-dec-2014,Sinterkerst cantus,Wina
09-dec-2014,Harry Potter cantus,Psychologie
16-feb-2015,Fairytale cantus,Wina
03-mrt-2015,Sprookjes cantus,Pedagogie
04-mrt-2015,Schlager cantus,Farma
09-mrt-2015,50 shades of cantus,Psychologie
10-mrt-2015,Pirates of cantus,Wina
12-mrt-2015,12 uur cantus,Wina Gent
23-mrt-2015,Arena cantus,Wina
30-mrt-2015,Ontgroeningscantus,Wina
31-mrt-2015,Plan B cantus,Psychologie
20-apr-2015,Vamos a la cantus,Thomas Morus
21-apr-2015,Dubbelcantus Medica / VTK,Medica
25-mei-2015,Cantus in de gang van Kenny,Kenny
27-apr-2015,History cantus,Span
29-apr-2015,cantUS vs cantSS,Historia
30-apr-2015,Duo cantus,Peda don bosco
02-mei-2015,kot cantus ,El Nido
03-mei-2015,Geile cantus,Farma
12-mei-2015,No regrets cantus,Wina
13-mei-2015,jaren stillekes cantus,Psychologie
14-mei-2015,2de jaars fysica cantus,Fysica
03-jul-2015,Kempen cantus,Wina
17-sep-2015,Hippy cantus,Wina
20-sep-2015,Openingscantus,El Nido
28-sep-2015,Cantus plezantus,Wina
04-okt-2015,Later als ik groot ben cantus,Pedagogie
17-okt-2015,Openingscantus,Chemika
12-okt-2015,Pius cantus,Pius
15-okt-2015,Stinken is geen schantus,Wina
27-okt-2015,Tarzantus,Wina
28-okt-2015,Oud en versleten cantus,Medica
02-nov-2015,Omgekeerde cantus,Psychologie
03-nov-2015,Ontbijtcantus,Psychologie
03-nov-2015,CantusWijzerCantus,CantusWijzer
04-nov-2015,Pokemon cantus,Psychologie
05-nov-2015,12 uur cantus,Psychologie
06-nov-2015,Verbroederingscantus,Wina antwerpen
10-nov-2015,Knuffelbeestjes cantus,Chemika
18-nov-2015,Appollon meets apoloonia,Appollon
24-nov-2015,Scienticantus,scientica
27-nov-2015,Hippy cantus,scientica
07-nov-2015,Famillie cantus,Wina
10-dec-2015,Vikingscantus,Psychologie
08-feb-2016,Kanstus,Wina
15-feb-2016,Gene zwanstus,Wina
17-feb-2016,Plan B cantus,Bios
18-feb-2016,In den helft cantus,Psychologie
19-feb-2016,GenderBender cantus,Wina
22-feb-2016,Eddy wally cantus,Musicologica
24-feb-2016,Galacantus,Medica
29-feb-2016,Las vegas cantus,Historia
03-mrt-2016,Panem & circantus,Wina
06-mrt-2016,kot cantus ,El Nido
09-mrt-2016,Dictator cantus,Industria
14-mrt-2016,Picantus,Wina
15-mrt-2016,Cava cantus,Pedagogie
06-apr-2016,Micro cantus Mega pret,Fysica
12-apr-2016,Dubbelcantus Medica / VTK,Medica
14-apr-2016,Lolcomitepel,Lolcomitepel
18-apr-2016,Robinson cantus,Spectrum
20-apr-2016,Kies cantus,Medica
21-apr-2016,Tequicha cantus,Babylon
24-apr-2016,Eastern blok cantus,Wina
26-apr-2016,Reis rond de wereld cantus,Psychologie
28-apr-2016,Yes they cantus,Wina
02-mei-2016,Mannen en vrouwen cantus,Medica
04-mei-2016,Cantus op den berg,Medica
09-mei-2016,Spantus,Wina
16-mei-2016,sutnac,Spectrum
17-mei-2016,Communicantus,Psychologie
20-jun-2016,house style cantus,Psychologie
01-jul-2016,Bevelhebber van weleer cantus,Wina
22-sep-2016,Maffia cantus,Wina
10-okt-2016,Openingscantus,Bios
17-okt-2016,Soviet cantus,Eoos
18-okt-2016,Materiaal cantus,Materiaal
20-okt-2016,Dope cantus,Wina
21-okt-2016,internationaal cantus,Wina
14-nov-2016,Beerhunderd cantus,Psychologie
15-nov-2016,Americantus,Wina
16-nov-2016,Massa cantus,veel
21-nov-2016,flintstones cantus,Geos
22-nov-2016,Don bosco cantus,Peda don bosco
24-nov-2016,CantusWijzerCantus,CantusWijzer
29-nov-2016,Scienticantus,scientica
05-dec-2016,Witte baarden cantus,Wina
11-dec-2016,Alles kantus,Bios
26-jan-2017,Fok de blok cantus,Farma
21-feb-2017,beauty and brains cantus,Psychologie
22-feb-2017,Boybandscantus,Pedagogie
23-feb-2017,GOT cantus,Wina
26-feb-2017,kot cantus ,El Nido
27-feb-2017,Gekke recipenten cantus,scientica
28-feb-2017,Speeddate cantus,scientica
13-feb-2017,Spamtus,Wina
16-mrt-2017,Thriftshop cantus,Eoos
27-mrt-2017,Guess who's back cantus,Jeroen
28-mrt-2017,Duo cantus,Eoos
29-mrt-2017,cava ochtendcantus,Psychologie
29-mrt-2017,Beiaard cantus,Loko
30-mrt-2017,Kerst cantus,Psychologie
01-apr-2017,Joran zijn cantus,Joran
18-apr-2017,Levensweg cantus,Wina
20-apr-2017,ou est la gare cantus,Leuven waals
22-apr-2017,Beiaard cantus,Samuel
24-apr-2017,Spartacantus,Wina
28-apr-2017,Famillie cantus,Psychologie
04-mei-2017,Klaas en wijn cantus,Klaas en wijn
05-mei-2017,Verbroederingscantus,Wina
10-mei-2017,Plan cantus,Psychologie
15-mei-2017,Bejaardcantus,Wina
22-mei-2017,Examen cantus,Medica
05-jul-2016,Who ist die statione cantus,Niet presidium
10-aug-2017,Pre herexamen cantus,Medica
21-sep-2017,EJWiekend cantus,Wina
02-okt-2017,Openingscantus,Wina
04-okt-2017,Beroepen cantus,Milan
05-okt-2017,First time all over again,Psychologie
09-okt-2017,Cracking open a cold one with psycho,Psychologie
13-okt-2017,Colorclash cantus ,Hospitalia
16-okt-2017,Materiaal cantus,Materiaal
17-okt-2017,CantusWijzerCantus,CantusWijzer
18-okt-2017,Junior eurosong openings cantus,Pedagogie
19-okt-2017,Ketnet cantus,Wina
30-okt-2017,Kerst cantus,Pedagogie
01-nov-2017,Bar cantus cantus bar,Wina
09-nov-2017,Lettertjes en cijfertjes cantus,Eoos
13-nov-2017,ABC/C cantus,Psychologie
14-nov-2017,ochtend cantus,Psychologie
15-nov-2017,Op de boot cantus,Psychologie
16-nov-2017,She's the man cantus,Psychologie
22-nov-2017,Wilde poezen en hete tijgers cantus,Farma
23-nov-2017,Scienticantus,scientica
29-nov-2017,Kermis cantus,Geos
04-dec-2017,Sinterklaas cantus,Farma
05-dec-2017,Top 50 cantus,Wina
14-dec-2017,Winds of winter cantus,Crimen 
